"","ens_gene_5"
"1","ENSG00000227232"
"2","ENSG00000238009"
"3","ENSG00000268903"
"4","ENSG00000269981"
"5","ENSG00000239906"
"6","ENSG00000241860"
"7","ENSG00000279457"
"8","ENSG00000228463"
"9","ENSG00000237094"
"10","ENSG00000250575"
"11","ENSG00000278757"
"12","ENSG00000230021"
"13","ENSG00000225972"
"14","ENSG00000225630"
"15","ENSG00000237973"
"16","ENSG00000229344"
"17","ENSG00000248527"
"18","ENSG00000198744"
"19","ENSG00000228327"
"20","ENSG00000237491"
"21","ENSG00000230092"
"22","ENSG00000228794"
"23","ENSG00000225880"
"24","ENSG00000188976"
"25","ENSG00000187961"
"26","ENSG00000187608"
"27","ENSG00000188157"
"28","ENSG00000131591"
"29","ENSG00000078808"
"30","ENSG00000176022"
"31","ENSG00000184163"
"32","ENSG00000160087"
"33","ENSG00000131584"
"34","ENSG00000169972"
"35","ENSG00000127054"
"36","ENSG00000240731"
"37","ENSG00000224051"
"38","ENSG00000107404"
"39","ENSG00000175756"
"40","ENSG00000221978"
"41","ENSG00000224870"
"42","ENSG00000242485"
"43","ENSG00000272455"
"44","ENSG00000160072"
"45","ENSG00000197785"
"46","ENSG00000160075"
"47","ENSG00000215014"
"48","ENSG00000228594"
"49","ENSG00000272106"
"50","ENSG00000197530"
"51","ENSG00000248333"
"52","ENSG00000189339"
"53","ENSG00000008128"
"54","ENSG00000268575"
"55","ENSG00000215790"
"56","ENSG00000008130"
"57","ENSG00000078369"
"58","ENSG00000067606"
"59","ENSG00000162585"
"60","ENSG00000157933"
"61","ENSG00000116151"
"62","ENSG00000157916"
"63","ENSG00000157911"
"64","ENSG00000157881"
"65","ENSG00000157873"
"66","ENSG00000157870"
"67","ENSG00000130762"
"68","ENSG00000162591"
"69","ENSG00000158109"
"70","ENSG00000116213"
"71","ENSG00000235169"
"72","ENSG00000130764"
"73","ENSG00000116198"
"74","ENSG00000169598"
"75","ENSG00000198912"
"76","ENSG00000131697"
"77","ENSG00000069424"
"78","ENSG00000116254"
"79","ENSG00000116251"
"80","ENSG00000158286"
"81","ENSG00000116237"
"82","ENSG00000097021"
"83","ENSG00000162408"
"84","ENSG00000204859"
"85","ENSG00000162413"
"86","ENSG00000116273"
"87","ENSG00000041988"
"88","ENSG00000007923"
"89","ENSG00000171735"
"90","ENSG00000049245"
"91","ENSG00000269925"
"92","ENSG00000049246"
"93","ENSG00000049249"
"94","ENSG00000116288"
"95","ENSG00000142599"
"96","ENSG00000224315"
"97","ENSG00000228423"
"98","ENSG00000074800"
"99","ENSG00000236269"
"100","ENSG00000142583"
"101","ENSG00000180758"
"102","ENSG00000049239"
"103","ENSG00000171621"
