"","distance","condition","norm","proportion"
"1",1e+05,"control",654.598595772,0.164520086802092
"2",1e+05,"mig14",747.764684997,0.167461904375281
"3",1e+05,"mig5",430.976213436,0.158379503902997
"4",2e+05,"control",287.807230894,0.0723345129592102
"5",2e+05,"mig14",327.64301055,0.0733756536017388
"6",2e+05,"mig5",174.2461484134,0.0640337394091947
"7",3e+05,"control",203.1112041747,0.051047883629952
"8",3e+05,"mig14",231.2716329897,0.0517932831885362
"9",3e+05,"mig5",123.4409354662,0.0453633251927995
"10",4e+05,"control",155.0961006883,0.0389802607471413
"11",4e+05,"mig14",178.3873451459,0.0399498467017104
"12",4e+05,"mig5",93.5560823094,0.0343809366766157
"13",5e+05,"control",124.1525253345,0.0312032203806395
"14",5e+05,"mig14",142.4574555166,0.0319033477669013
"15",5e+05,"mig5",74.6644477772,0.027438447481511
"16",6e+05,"control",102.6786288078,0.0258061918147818
"17",6e+05,"mig14",118.4138595417,0.0265187843463878
"18",6e+05,"mig5",62.0296540994,0.022795285533772
"19",7e+05,"control",85.8653346852,0.0215805111818787
"20",7e+05,"mig14",98.6001291869,0.0220814993494286
"21",7e+05,"mig5",51.73235128,0.0190111284011239
"22",8e+05,"control",73.9292651732,0.0185806220820952
"23",8e+05,"mig14",84.3153513588,0.0188824232942643
"24",8e+05,"mig5",45.0832667023,0.0165676554576187
"25",9e+05,"control",64.3255935055,0.0161669338973147
"26",9e+05,"mig14",74.1846329242,0.0166136488578857
"27",9e+05,"mig5",38.0964214555,0.0140000588025436
"28",1e+06,"control",55.6174782462,0.0139783256607616
"29",1e+06,"mig14",64.2918559375,0.0143981614097731
"30",1e+06,"mig5",34.3470402474,0.0126221982219149
"31",1100000,"control",49.3958687809,0.01241465024824
"32",1100000,"mig14",57.2909055632,0.0128302985437676
"33",1100000,"mig5",29.91459184626,0.0109933171909843
"34",1200000,"control",44.2586863532,0.0111235235877456
"35",1200000,"mig14",51.0102887587,0.0114237543837727
"36",1200000,"mig5",26.2220953669,0.00963636118660974
"37",1300000,"control",39.96005619,0.0100431500395169
"38",1300000,"mig14",45.4789275444,0.0101850060163796
"39",1300000,"mig5",24.27441986591,0.00892060966716625
"40",1400000,"control",35.5962530312,0.0089463965800532
"41",1400000,"mig14",41.0456544429,0.00919217448650348
"42",1400000,"mig5",21.5588232109,0.00792265470442678
"43",1500000,"control",32.216990592,0.0080970874715169
"44",1500000,"mig14",37.4294306984,0.00838232116359146
"45",1500000,"mig5",20.2898778192,0.00745632979982207
"46",1600000,"control",29.4551556343,0.00740295624375588
"47",1600000,"mig14",33.8486958849,0.00758041558692735
"48",1600000,"mig5",18.29094423553,0.00672174144100605
"49",1700000,"control",27.357320545,0.00687570792208621
"50",1700000,"mig14",31.5892044295,0.00707440246591124
"51",1700000,"mig5",16.33850736983,0.00600424016703514
"52",1800000,"control",25.1702739981,0.00632603810907377
"53",1800000,"mig14",28.6650524674,0.0064195386216018
"54",1800000,"mig5",15.0997130478,0.00554899548288716
"55",1900000,"control",23.4091824077,0.00588342343927396
"56",1900000,"mig14",26.9057298327,0.00602553831010195
"57",1900000,"mig5",14.13313309491,0.00519378689213733
"58",2e+06,"control",21.7112355931,0.00545667892877913
"59",2e+06,"mig14",25.0144453701,0.00560198514668445
"60",2e+06,"mig5",13.45874691336,0.00494595662786038
"61",2100000,"control",20.4102357256,0.00512969898639446
"62",2100000,"mig14",23.361963471,0.00523191181837519
"63",2100000,"mig5",12.47680117226,0.0045851012616322
"64",2200000,"control",18.9859965849,0.00477174535103941
"65",2200000,"mig14",21.5687164196,0.00483031413361156
"66",2200000,"mig5",11.44382349185,0.00420549216148752
"67",2300000,"control",17.801705433,0.00447409777836206
"68",2300000,"mig14",20.3061234162,0.00454755642514727
"69",2300000,"mig5",11.15665472322,0.00409996047390446
"70",2400000,"control",16.91372593233,0.00425092213229088
"71",2400000,"mig14",19.12711769695,0.00428351808932275
"72",2400000,"mig5",10.06581266871,0.00369908678750674
"73",2500000,"control",15.8425408965,0.0039817014889621
"74",2500000,"mig14",18.3954935066,0.0041196708487921
"75",2500000,"mig5",9.41576560663,0.00346020090936275
"76",2600000,"control",14.9004029741,0.00374491422150701
"77",2600000,"mig14",17.6376056666,0.00394994186381098
"78",2600000,"mig5",8.87766714412,0.00326245503642038
"79",2700000,"control",14.276085819,0.00358800476094217
